Player,Opposition,Ground,Inns,Overs,Wkts
Umar Gul,v New Zealand,The Oval,1,3.0,5
Umar Gul,v South Africa,Centurion,2,2.2,5
Imad Wasim,v West Indies,Dubai (DSC),1,4.0,5
Umar Gul,v Australia,Dubai (DSC),1,4.0,4
Shadab Khan,v Hong Kong,Sharjah,2,2.4,4
Mohammad Hafeez,v Zimbabwe,Harare,2,2.2,4
Shahid Afridi,v Netherlands,Lord's,2,4.0,4
Imad Wasim,v Zimbabwe,Harare,2,4.0,4
Umar Gul,v Sri Lanka,King City (NW),1,3.0,4
Mohammad Amir,v Sri Lanka,Lahore,2,4.0,4
Usman Qadir,v Zimbabwe,Rawalpindi,1,4.0,4
Shahid Afridi,v New Zealand,Christchurch,2,2.5,4
Shadab Khan,v West Indies,Port of Spain,2,4.0,4
Mohammad Asif,v India,Durban,1,4.0,4
Hasan Ali,v Zimbabwe,Harare,2,4.0,4
Haris Rauf,v New Zealand,Lahore,2,3.3,4
Shahid Afridi,v Scotland,Durban,2,4.0,4
Saeed Ajmal,v Ireland,The Oval,2,4.0,4
Haris Rauf,v New Zealand,Sharjah,1,4.0,4
Shaheen Shah Afridi,v Bangladesh,Adelaide,1,4.0,4
Saeed Ajmal,v England,Abu Dhabi,1,4.0,4
Mohammad Wasim (1),v Zimbabwe,Perth,1,4.0,4
Umar Gul,v Scotland,Durban,2,4.0,4
Saeed Ajmal,v South Africa,Gros Islet,2,4.0,4
Shadab Khan,v Australia,Dubai (DSC),2,4.0,4
Haris Rauf,v New Zealand,Lahore,2,4.0,4
Aizaz Cheema,v Sri Lanka,Abu Dhabi,1,4.0,4
Saeed Ajmal,v New Zealand,Pallekele,2,4.0,4
Umar Gul,v India,Ahmedabad,1,4.0,4
Mohammad Wasim (1),v West Indies,Karachi,2,4.0,4
Mansoor Amjad,v Bangladesh,Karachi,2,1.0,3
Faheem Ashraf,v Scotland,Edinburgh,2,2.4,3
Mohammad Nawaz (3),v Hong Kong,Sharjah,2,2.0,3
Fawad Alam,v Zimbabwe,King City (NW),1,3.0,3
Shadab Khan,v West Indies,Bridgetown,1,4.0,3
Mohammad Hafeez,v Zimbabwe,Harare,2,3.0,3
Sohail Tanvir,v Sri Lanka,Hambantota,1,4.0,3
Abdul Razzaq,v New Zealand,Christchurch,2,4.0,3
Sohail Tanvir,v Australia,Dubai (DSC),1,2.3,3
Sohail Tanvir,v West Indies,Dubai (DSC),2,4.0,3
Shadab Khan,v Afghanistan,Sharjah,2,4.0,3
Shahid Afridi,v Australia,Dubai (DSC),1,4.0,3
Shaheen Shah Afridi,v South Africa,Sydney,2,3.0,3
Umar Gul,v New Zealand,Cape Town,1,4.0,3
Shahid Afridi,v England,Dubai (DSC),1,4.0,3
Mohammad Sami,v Sri Lanka,Hambantota,2,3.0,3
Faheem Ashraf,v Sri Lanka,Abu Dhabi,1,3.0,3
Saeed Ajmal,v Australia,Colombo (RPS),2,4.0,3
Faheem Ashraf,v South Africa,Centurion,1,4.0,3
Shadab Khan,v West Indies,Karachi,2,4.0,3
Younis Khan,v Kenya,Nairobi (Gym),1,3.4,3
Shahid Afridi,v Sri Lanka,Johannesburg,2,4.0,3
Saeed Ajmal,v Sri Lanka,Colombo (RPS),2,4.0,3
Umar Gul,v England,Dubai (DSC),2,4.0,3
Yasir Arafat,v Sri Lanka,Hambantota,2,3.2,3
Mohammad Amir,v India,Mirpur,2,4.0,3
Wahab Riaz,v England,Manchester,1,4.0,3
Naved-ul-Hasan,v Sri Lanka,Colombo (RPS),2,3.1,3
Shadab Khan,v Australia,Dubai (DSC),2,4.0,3
Imad Wasim,v New Zealand,Rawalpindi,1,4.0,3
Saeed Ajmal,v Netherlands,Lord's,2,4.0,3
Abdul Razzaq,v Sri Lanka,Lord's,1,3.0,3
Umar Gul,v Australia,Melbourne,1,3.4,3
Imad Wasim,v Australia,Abu Dhabi,2,4.0,3
Shaheen Shah Afridi,v New Zealand,Dubai (DSC),1,4.0,3
Faheem Ashraf,v New Zealand,Napier,1,4.0,3
Umar Gul,v India,Bengaluru,1,3.0,3
Imad Wasim,v West Indies,Abu Dhabi,1,4.0,3
Faheem Ashraf,v New Zealand,Auckland,2,3.3,3
Mohammad Amir,v West Indies,Karachi,2,4.0,3
Hasan Ali,v Bangladesh,Mirpur,1,4.0,3
Shadab Khan,v Netherlands,Perth,1,4.0,3
Mohammad Amir,v Australia,Gros Islet,1,4.0,3
Zulfiqar Babar,v West Indies,Kingstown,1,4.0,3
Hasan Ali,v Sri Lanka,Abu Dhabi,1,3.3,3
Usman Qadir,v Zimbabwe,Rawalpindi,1,4.0,3
Shadab Khan,v Zimbabwe,Perth,1,4.0,3
Junaid Khan,v Afghanistan,Sharjah,1,4.0,3
Mohammad Wasim (1),v Bangladesh,Christchurch,2,4.0,3
Yasir Arafat,v Bangladesh,Pallekele,1,3.0,3
Mohammad Hafeez,v South Africa,Centurion,2,3.0,3
Shahid Afridi,v Zimbabwe,Harare,2,4.0,3
Saeed Ajmal,v South Africa,Dubai (DSC),1,4.0,3
Saeed Ajmal,v Australia,Birmingham,2,3.4,3
Shaheen Shah Afridi,v West Indies,Karachi,2,4.0,3
Mohammad Amir,v Australia,Birmingham,2,4.0,3
Mohammad Amir,v Australia,Birmingham,2,4.0,3
Mohammad Amir,v South Africa,Centurion,2,4.0,3
Mohammad Amir,v Sri Lanka,Lahore,1,4.0,3
Umar Gul,v India,Johannesburg,1,4.0,3
Shahid Afridi,v South Africa,Cape Town,2,4.0,3
Mohammad Hafeez,v England,Manchester,2,4.0,3
Haris Rauf,v New Zealand,Christchurch,1,4.0,3
Mohammad Sami,v Bangladesh,Gros Islet,2,4.0,3
Sohail Tanvir,v Sri Lanka,Colombo (RPS),2,4.0,3
Haris Rauf,v New Zealand,Auckland,2,4.0,3
Usman Qadir,v Zimbabwe,Harare,2,4.0,3
Haris Rauf,v Sri Lanka,Dubai (DSC),1,4.0,3
Ihsanullah,v Afghanistan,Sharjah,2,4.0,3
Abdul Razzaq,v England,Bristol,1,4.0,3
Mohammad Hafeez,v Zimbabwe,Harare,2,4.0,3
Umar Gul,v Bangladesh,Mirpur,2,4.0,3
Shadab Khan,v New Zealand,Dubai (DSC),2,4.0,3
Shaheen Shah Afridi,v England,Nottingham,2,3.2,3
Sohail Tanvir,v Australia,Johannesburg,1,4.0,3
Usman Shinwari,v South Africa,Cape Town,1,4.0,3
Haris Rauf,v Zimbabwe,Rawalpindi,1,4.0,3
Shaheen Shah Afridi,v India,Dubai (DSC),1,4.0,3
Yasir Arafat,v England,Dubai (DSC),1,4.0,3
Haris Rauf,v England,Karachi,2,4.0,3
Mohammad Amir,v Australia,Harare,1,4.0,3
Mohammad Nawaz (3),v India,Dubai (DSC),2,3.4,3
Saeed Ajmal,v Australia,Gros Islet,1,4.0,3
Wahab Riaz,v New Zealand,Auckland,2,4.0,3
Shadab Khan,v England,Manchester,2,4.0,3
Mohammad Amir,v Australia,Gros Islet,2,4.0,3
Saeed Ajmal,v New Zealand,Hamilton,1,4.0,3
Hasan Ali,v New Zealand,Abu Dhabi,2,4.0,3
Mohammad Nawaz (3),v England,Karachi,2,4.0,3
Mohammad Sami,v Zimbabwe,Lahore,1,4.0,3
Shaheen Shah Afridi,v Australia,Harare,2,4.0,3
Mohammad Hasnain,v Sri Lanka,Lahore,1,4.0,3
Shoaib Akhtar,v New Zealand,Auckland,2,4.0,3
Zahid Mahmood,v South Africa,Lahore,1,4.0,3
Hasan Ali,v South Africa,Centurion,1,4.0,3
Hasan Ali,v West Indies,Dubai (DSC),2,4.0,3
Mohammad Hasnain,v England,Leeds,1,4.0,3
Shadab Khan,v England,Nottingham,2,4.0,3
Imad Wasim,v New Zealand,Lahore,2,1.0,2
Mohammad Amir,v West Indies,Karachi,2,2.0,2
Mohammad Hafeez,v Zimbabwe,Harare,2,0.5,2
Mohammad Hafeez,v West Indies,Kingstown,1,2.0,2
Usman Shinwari,v Scotland,Edinburgh,2,2.0,2
Mohammad Amir,v U.A.E.,Mirpur,1,4.0,2
Abdur Rehman,v Kenya,Nairobi (Gym),1,3.0,2
Shoaib Malik,v Bangladesh,Mirpur,2,2.0,2
Naseem Shah,v Hong Kong,Sharjah,2,2.0,2
Abdul Razzaq,v New Zealand,Dubai (DSC),2,3.0,2
Abdul Razzaq,v Australia,Dubai (DSC),2,1.0,2
Mohammad Hafeez,v Sri Lanka,Abu Dhabi,1,2.0,2
Faheem Ashraf,v Australia,Abu Dhabi,2,3.0,2
Shoaib Akhtar,v Canada,King City (NW),2,3.0,2
Mohammad Hafeez,v Bangladesh,Mirpur,2,4.0,2
Sohail Tanvir,v Afghanistan,Sharjah,1,4.0,2
Mohammad Nawaz (3),v Zimbabwe,Harare,2,4.0,2
Usman Shinwari,v Zimbabwe,Harare,2,3.0,2
Hasan Ali,v West Indies,Bridgetown,1,2.0,2
Hasan Ali,v West Indies,Port of Spain,1,4.0,2
Hussain Talat,v West Indies,Karachi,2,1.2,2
Umar Gul,v Australia,Birmingham,2,3.0,2
Sohail Khan,v Zimbabwe,Harare,2,2.0,2
Saeed Ajmal,v Australia,Dubai (DSC),1,4.0,2
Shoaib Malik,v West Indies,Karachi,2,2.0,2
Mohammad Nawaz (3),v South Africa,Lahore,1,2.0,2
Umar Gul,v Sri Lanka,Johannesburg,2,4.0,2
Shoaib Malik,v Australia,Dubai (DSC),1,3.0,2
Raza Hasan,v Australia,Colombo (RPS),2,4.0,2
Hasan Ali,v Australia,Dubai (DSC),2,3.1,2
Shadab Khan,v Scotland,Sharjah,2,4.0,2
Shoaib Malik,v Bangladesh,Cape Town,1,2.0,2
Raza Hasan,v Australia,Dubai (DSC),1,4.0,2
Shaheen Shah Afridi,v Bangladesh,Mirpur,1,4.0,2
Mohammad Wasim (1),v Bangladesh,Mirpur,1,4.0,2
Mohammad Wasim (1),v Netherlands,Perth,1,3.0,2
Shahid Afridi,v South Africa,Nottingham,2,4.0,2
Mohammad Amir,v Bangladesh,Gros Islet,2,4.0,2
Umar Gul,v Sri Lanka,Abu Dhabi,1,2.3,2
Shoaib Malik,v Sri Lanka,Colombo (RPS),1,3.0,2
Mohammad Sami,v India,Mirpur,2,4.0,2
Shadab Khan,v West Indies,Port of Spain,1,4.0,2
Shadab Khan,v South Africa,Sydney,2,2.0,2
Shoaib Malik,v Sri Lanka,King City (NW),2,4.0,2
Abdul Razzaq,v New Zealand,The Oval,1,3.3,2
Shahid Afridi,v Sri Lanka,Hambantota,2,4.0,2
Raza Hasan,v Australia,Dubai (DSC),2,4.0,2
Mohammad Sami,v India,Eden Gardens,2,2.0,2
Imad Wasim,v England,Manchester,1,4.0,2
Ihsanullah,v Afghanistan,Sharjah,2,3.5,2
Saeed Ajmal,v New Zealand,Dubai (DSC),2,3.0,2
Saeed Ajmal,v England,Bridgetown,2,3.3,2
Mohammad Hafeez,v England,Dubai (DSC),2,4.0,2
Mohammad Irfan,v Sri Lanka,Mirpur,1,4.0,2
Shaheen Shah Afridi,v South Africa,Lahore,2,3.0,2
Haris Rauf,v South Africa,Centurion,1,3.3,2
Mohammad Hafeez,v Kenya,Nairobi (Gym),1,3.0,2
Umar Gul,v Ireland,The Oval,2,4.0,2
Abdur Rehman,v New Zealand,Bridgetown,1,3.0,2
Saeed Ajmal,v Australia,Dubai (DSC),1,4.0,2
Shahid Afridi,v England,Sharjah,1,4.0,2
Faheem Ashraf,v Sri Lanka,Lahore,2,4.0,2
Shadab Khan,v New Zealand,Mount Maunganui,2,4.0,2
Mohammad Nawaz (3),v West Indies,Karachi,2,4.0,2
Hasan Ali,v Zimbabwe,Harare,2,2.0,2
Mohammad Hasnain,v Zimbabwe,Harare,1,4.0,2
Haris Rauf,v Sri Lanka,Dubai (DSC),2,3.0,2
Saeed Ajmal,v Sri Lanka,Hambantota,1,4.0,2
Saeed Ajmal,v Australia,Dubai (DSC),2,4.0,2
Sohail Tanvir,v West Indies,Kingstown,2,4.0,2
Saeed Ajmal,v Bangladesh,Mirpur,2,3.0,2
Usman Shinwari,v Sri Lanka,Abu Dhabi,1,4.0,2
Mohammad Hasnain,v Bangladesh,Lahore,1,4.0,2
Mohammad Wasim (1),v New Zealand,Christchurch,1,4.0,2
Mohammad Asif,v England,Bristol,1,4.0,2
Mohammad Amir,v New Zealand,Dubai (DSC),2,3.0,2
Shahid Afridi,v New Zealand,Dubai (DSC),2,3.3,2
Saeed Ajmal,v West Indies,Kingstown,2,4.0,2
Zulfiqar Babar,v Zimbabwe,Harare,2,4.0,2
Sohail Tanvir,v South Africa,Dubai (DSC),1,4.0,2
Waqas Maqsood,v New Zealand,Dubai (DSC),2,1.5,2
Usman Qadir,v South Africa,Lahore,2,4.0,2
Mohammad Nawaz (3),v South Africa,Johannesburg,1,4.0,2
Shaheen Shah Afridi,v Australia,Lahore,2,4.0,2
Mohammad Hasnain,v Sri Lanka,Dubai (DSC),2,3.0,2
Imad Wasim,v New Zealand,Rawalpindi,2,4.0,2
Shoaib Akhtar,v Kenya,Nairobi (Gym),1,3.0,2
Abdur Rehman,v West Indies,Gros Islet,1,4.0,2
Mohammad Hafeez,v Australia,Colombo (RPS),2,4.0,2
Shadab Khan,v Bangladesh,Mirpur,1,4.0,2
Haris Rauf,v New Zealand,Christchurch,1,4.0,2
Saeed Ajmal,v England,The Oval,1,4.0,2
Shahid Afridi,v Sri Lanka,Lord's,1,4.0,2
Shoaib Akhtar,v England,Cardiff,2,4.0,2
Junaid Khan,v Zimbabwe,Harare,2,4.0,2
Mohammad Hafeez,v South Africa,Colombo (RPS),1,4.0,2
Mohammad Sami,v New Zealand,Mohali,1,4.0,2
Shadab Khan,v West Indies,Karachi,2,4.0,2
Shaheen Shah Afridi,v Australia,Abu Dhabi,2,3.0,2
Haris Rauf,v England,Melbourne,2,4.0,2
Wahab Riaz,v West Indies,Gros Islet,1,4.0,2
Mohammad Hafeez,v Australia,Dubai (DSC),1,4.0,2
Junaid Khan,v South Africa,Johannesburg,1,3.0,2
Sohail Tanvir,v New Zealand,Dubai (DSC),1,4.0,2
Umar Gul,v New Zealand,Dubai (DSC),1,4.0,2
Hasan Ali,v England,Manchester,1,4.0,2
Rumman Raees,v New Zealand,Wellington,2,4.0,2
Mohammad Wasim (1),v Bangladesh,Mirpur,1,4.0,2
Shaheen Shah Afridi,v New Zealand,Sydney,1,4.0,2
Mohammad Sami,v New Zealand,Bridgetown,1,3.0,2
Yasir Arafat,v South Africa,Colombo (RPS),1,3.0,2
Saeed Ajmal,v India,Bengaluru,1,4.0,2
Mohammad Hafeez,v South Africa,Johannesburg,1,4.0,2
Saeed Ajmal,v Sri Lanka,Dubai (DSC),1,4.0,2
Mohammad Irfan,v Zimbabwe,Harare,2,4.0,2
Shadab Khan,v Scotland,Edinburgh,2,4.0,2
Haris Rauf,v Zimbabwe,Rawalpindi,1,4.0,2
Imad Wasim,v Afghanistan,Dubai (DSC),1,4.0,2
Mohammad Nawaz (3),v Bangladesh,Christchurch,2,4.0,2
Shahid Afridi,v Bangladesh,Nairobi (Gym),2,4.0,2
Shoaib Malik,v Canada,King City (NW),2,4.0,2
Saeed Ajmal,v Sri Lanka,Lord's,1,4.0,2
Zulfiqar Babar,v Australia,Mirpur,2,4.0,2
Shahid Afridi,v New Zealand,Auckland,2,4.0,2
Mohammad Amir,v Bangladesh,Mirpur,2,4.0,2
Sohail Tanvir,v West Indies,Dubai (DSC),1,3.5,2
Wahab Riaz,v England,Manchester,2,4.0,2
Usman Qadir,v South Africa,Johannesburg,2,3.0,2
Haris Rauf,v Afghanistan,Sharjah,1,4.0,2
Mohammad Hafeez,v Bangladesh,Cape Town,1,3.0,2
Shahid Afridi,v England,Cardiff,2,4.0,2
Mohammad Irfan,v New Zealand,Dubai (DSC),1,4.0,2
Anwar Ali,v Sri Lanka,Colombo (RPS),2,4.0,2
Anwar Ali,v England,Dubai (DSC),1,4.0,2
Mohammad Amir,v Bangladesh,Eden Gardens,2,4.0,2
Shahid Afridi,v Bangladesh,Eden Gardens,2,4.0,2
Shadab Khan,v West Indies,Karachi,1,4.0,2
Imad Wasim,v Zimbabwe,Rawalpindi,1,4.0,2
Shaheen Shah Afridi,v New Zealand,Auckland,2,4.0,2
Mohammad Hasnain,v Zimbabwe,Harare,2,4.0,2
Naseem Shah,v India,Dubai (DSC),2,4.0,2
Naseem Shah,v Bangladesh,Christchurch,1,4.0,2
Sohail Khan,v World-XI,Lahore,2,4.0,2
Hasan Ali,v World-XI,Lahore,2,4.0,2
Mohammad Amir,v New Zealand,Auckland,2,4.0,2
Imad Wasim,v New Zealand,Dubai (DSC),2,4.0,2
Shaheen Shah Afridi,v England,Manchester,2,4.0,2
Hasan Ali,v South Africa,Johannesburg,1,4.0,2
Fawad Alam,v New Zealand,Cape Town,1,3.0,2
Sohail Tanvir,v Canada,King City (NW),2,4.0,2
Umar Gul,v New Zealand,Dubai (DSC),2,4.0,2
Shahid Afridi,v New Zealand,Bridgetown,1,4.0,2
Shoaib Akhtar,v South Africa,Abu Dhabi,2,4.0,2
Umar Gul,v Australia,Mirpur,2,4.0,2
Hasan Ali,v South Africa,Lahore,1,4.0,2
Danish Aziz,v Zimbabwe,Harare,1,3.0,2
Shoaib Akhtar,v Bangladesh,Nairobi (Gym),2,4.0,2
Shahid Afridi,v Australia,Birmingham,2,4.0,2
Umar Gul,v Australia,Dubai (DSC),1,4.0,2
Yasir Arafat,v Australia,Dubai (DSC),1,3.0,2
Shahid Afridi,v Australia,Mirpur,2,4.0,2
Mohammad Irfan,v U.A.E.,Mirpur,1,4.0,2
Shadab Khan,v Australia,Dubai (DSC),2,4.0,2
Mohammad Wasim (1),v Australia,Lahore,2,4.0,2
Haris Rauf,v England,Karachi,1,4.0,2
Shadab Khan,v Bangladesh,Adelaide,1,4.0,2
Shoaib Malik,v Australia,Melbourne,1,4.0,2
Umar Gul,v England,Dubai (DSC),1,4.0,2
Sohail Tanvir,v England,Dubai (DSC),1,4.0,2
Imad Wasim,v Australia,Mohali,1,4.0,2
Hasan Ali,v Sri Lanka,Abu Dhabi,1,4.0,2
Imad Wasim,v England,Manchester,1,4.0,2
Shadab Khan,v India,Dubai (DSC),1,4.0,2
Haris Rauf,v New Zealand,Lahore,1,4.0,2
Abdur Rehman,v Australia,Gros Islet,2,4.0,2
Shahid Afridi,v New Zealand,Dubai (DSC),1,4.0,2
Shadab Khan,v World-XI,Lahore,2,4.0,2
Hasan Ali,v Scotland,Edinburgh,2,4.0,2
Shadab Khan,v England,Manchester,1,4.0,2
Usman Qadir,v Australia,Lahore,2,4.0,2
Mohammad Wasim (1),v Bangladesh,Christchurch,1,4.0,2
Shaheen Shah Afridi,v New Zealand,Lahore,1,4.0,2
Umar Gul,v Sri Lanka,Lord's,1,4.0,2
Sohail Tanvir,v Sri Lanka,Dubai (DSC),1,4.0,2
Shadab Khan,v South Africa,Centurion,2,4.0,2
Haris Rauf,v England,Manchester,2,4.0,2
Haris Rauf,v Zimbabwe,Harare,2,4.0,2
Shadab Khan,v England,Lahore,2,4.0,2
Abdur Rehman,v South Africa,Gros Islet,2,4.0,2
Saeed Ajmal,v West Indies,Gros Islet,1,4.0,2
Saeed Ajmal,v Sri Lanka,Dubai (DSC),1,4.0,2
Imran Khan (1),v Zimbabwe,Harare,2,4.0,2
Wahab Riaz,v Australia,Mohali,1,4.0,2
Shaheen Shah Afridi,v Australia,Dubai (DSC),2,4.0,2
Usman Qadir,v Bangladesh,Mirpur,1,4.0,2
Bilawal Bhatti,v Australia,Mirpur,2,2.0,2
Sohail Tanvir,v England,Sharjah,1,4.0,2
Mohammad Nawaz (3),v West Indies,Karachi,2,4.0,2
Usman Qadir,v England,Karachi,2,4.0,2
Haris Rauf,v India,Melbourne,2,4.0,2
Shahid Afridi,v India,Durban,1,4.0,2
Umar Gul,v England,The Oval,1,4.0,2
Zulfiqar Babar,v West Indies,Kingstown,2,4.0,2
Rumman Raees,v World-XI,Lahore,2,3.0,2
Shadab Khan,v New Zealand,Auckland,2,4.0,2
Wahab Riaz,v Zimbabwe,Rawalpindi,1,4.0,2
Imad Wasim,v England,Leeds,1,4.0,2
Shahnawaz Dahani,v England,Karachi,1,4.0,2
Wahab Riaz,v Zimbabwe,Lahore,1,4.0,2
Umar Gul,v New Zealand,Auckland,2,4.0,2
Shadab Khan,v Australia,Harare,1,4.0,2
Faheem Ashraf,v South Africa,Centurion,2,4.0,2
Mohammad Nawaz (3),v South Africa,Centurion,1,4.0,2
Naseem Shah,v New Zealand,Christchurch,1,4.0,2
Mohammad Wasim (1),v West Indies,Karachi,2,4.0,2
Shahid Afridi,v New Zealand,Mohali,1,4.0,2
Haris Rauf,v West Indies,Karachi,2,4.0,2
Mohammad Hasnain,v England,Karachi,2,4.0,2
Haris Rauf,v England,Lahore,2,4.0,2
Mohammad Nawaz (3),v India,Melbourne,2,4.0,2
Wahab Riaz,v New Zealand,Wellington,1,4.0,2
Shaheen Shah Afridi,v New Zealand,Napier,1,4.0,2
Haris Rauf,v New Zealand,Napier,1,4.0,2
Haris Rauf,v South Africa,Lahore,2,4.0,2
Hasan Ali,v India,Dubai (DSC),1,4.0,2
Mohammad Wasim (1),v West Indies,Karachi,1,4.0,2
Mohammad Nawaz (3),v New Zealand,Christchurch,1,4.0,2
Mohammad Asif,v Sri Lanka,Johannesburg,2,4.0,2
Haris Rauf,v England,Leeds,1,4.0,2
Usman Qadir,v England,Karachi,1,4.0,2
Shaheen Shah Afridi,v New Zealand,Rawalpindi,2,4.0,2
Hasan Ali,v West Indies,Karachi,2,1.0,1
Shoaib Malik,v Bangladesh,Mirpur,2,1.0,1
Shoaib Malik,v Sri Lanka,Mirpur,1,1.0,1
Hussain Talat,v West Indies,Karachi,2,0.4,1
Mohammad Hafeez,v Australia,Dubai (DSC),2,1.0,1
Wahab Riaz,v West Indies,Port of Spain,2,2.0,1
Faheem Ashraf,v Sri Lanka,Abu Dhabi,1,2.0,1
Faheem Ashraf,v New Zealand,Dubai (DSC),2,2.0,1
Usman Qadir,v West Indies,Bridgetown,1,1.0,1
Mohammad Hafeez,v West Indies,Providence,2,4.0,1
Wahab Riaz,v Bangladesh,Karachi,2,2.0,1
Umar Gul,v Bangladesh,Mirpur,2,2.0,1
Iftikhar Ahmed,v England,Manchester,1,1.0,1
Shahnawaz Dahani,v Hong Kong,Sharjah,2,2.0,1
Zaman Khan,v New Zealand,Lahore,2,2.0,1
Shoaib Malik,v England,Sharjah,1,2.0,1
Imad Wasim,v Australia,Dubai (DSC),2,4.0,1
Faheem Ashraf,v Australia,Dubai (DSC),2,2.0,1
Aizaz Cheema,v Bangladesh,Mirpur,2,2.0,1
Mohammad Hafeez,v West Indies,Kingstown,2,4.0,1
Shoaib Malik,v Sri Lanka,Colombo (RPS),2,1.0,1
Imad Wasim,v South Africa,Johannesburg,1,4.0,1
Mohammad Wasim (1),v Bangladesh,Mirpur,1,3.0,1
Mohammad Nawaz (3),v England,Lahore,2,2.0,1
Mohammad Hafeez,v South Africa,Abu Dhabi,2,3.0,1
Saeed Ajmal,v Zimbabwe,Harare,2,2.0,1
Hussain Talat,v Zimbabwe,Harare,1,1.0,1
Faheem Ashraf,v Zimbabwe,Harare,1,2.0,1
Haris Rauf,v Zimbabwe,Harare,1,3.0,1
Haris Rauf,v Netherlands,Perth,1,3.0,1
Mohammad Amir,v India,Eden Gardens,2,3.0,1
Mohammad Hafeez,v Sri Lanka,Lahore,2,2.0,1
Naseem Shah,v Netherlands,Perth,1,4.0,1
Imad Wasim,v Afghanistan,Sharjah,2,4.0,1
Shaheen Shah Afridi,v New Zealand,Lahore,2,2.0,1
Umar Gul,v Zimbabwe,King City (NW),1,4.0,1
Abdul Razzaq,v New Zealand,Hamilton,1,2.0,1
Mohammad Hafeez,v Sri Lanka,Colombo (RPS),1,2.0,1
Mohammad Hafeez,v Zimbabwe,Harare,2,2.0,1
Shoaib Malik,v Zimbabwe,Lahore,1,3.0,1
Aamer Yamin,v England,Sharjah,1,2.0,1
Imad Wasim,v West Indies,Bridgetown,1,3.0,1
Mohammad Hafeez,v New Zealand,Dubai (DSC),1,2.0,1
Usman Qadir,v South Africa,Lahore,1,3.0,1
Mohammad Hafeez,v West Indies,Bridgetown,1,1.0,1
Haris Rauf,v Zimbabwe,Perth,1,4.0,1
Mohammad Nawaz (3),v New Zealand,Sydney,1,2.0,1
Shahid Afridi,v Canada,King City (NW),2,4.0,1
Fawad Alam,v Sri Lanka,King City (NW),1,1.0,1
Saeed Ajmal,v England,Cardiff,2,3.0,1
Shahid Afridi,v South Africa,Abu Dhabi,2,4.0,1
Tanvir Ahmed,v New Zealand,Christchurch,2,3.0,1
Imad Wasim,v Bangladesh,Eden Gardens,2,2.0,1
Shadab Khan,v West Indies,Karachi,2,3.0,1
Imad Wasim,v Namibia,Abu Dhabi,2,3.0,1
Haris Rauf,v Bangladesh,Mirpur,1,3.0,1
Aamer Jamal,v England,Lahore,2,2.0,1
Mohammad Wasim (1),v South Africa,Sydney,2,2.0,1
Shaheen Shah Afridi,v England,Melbourne,2,2.1,1
Mohammad Wasim (1),v Afghanistan,Sharjah,2,3.0,1
Umar Gul,v Canada,King City (NW),2,4.0,1
Umar Gul,v Netherlands,Lord's,2,2.3,1
Sohail Tanvir,v New Zealand,Dubai (DSC),2,3.0,1
Shahid Afridi,v South Africa,Johannesburg,1,4.0,1
Imad Wasim,v Zimbabwe,Harare,2,4.0,1
Shadab Khan,v Sri Lanka,Abu Dhabi,1,3.0,1
Shadab Khan,v Sri Lanka,Abu Dhabi,1,4.0,1
Fawad Alam,v Kenya,Nairobi (Gym),1,4.0,1
Shoaib Malik,v Zimbabwe,King City (NW),1,4.0,1
Shahid Afridi,v Sri Lanka,King City (NW),2,4.0,1
Abdul Razzaq,v Australia,Birmingham,2,2.0,1
Shahid Afridi,v England,Cardiff,2,3.0,1
Shahid Afridi,v Bangladesh,Mirpur,2,4.0,1
Sohail Tanvir,v Sri Lanka,Hambantota,2,4.0,1
Mohammad Hafeez,v West Indies,Mirpur,1,2.0,1
Wahab Riaz,v Australia,Dubai (DSC),2,2.0,1
Anwar Ali,v New Zealand,Dubai (DSC),1,2.0,1
Iftikhar Ahmed,v Bangladesh,Adelaide,1,3.0,1
Fawad Alam,v Sri Lanka,King City (NW),2,3.0,1
Mohammad Amir,v Netherlands,Lord's,2,2.0,1
Abdul Razzaq,v South Africa,Gros Islet,2,3.0,1
Wahab Riaz,v India,Eden Gardens,2,2.0,1
Mohammad Nawaz (3),v West Indies,Dubai (DSC),1,4.0,1
Mohammad Nawaz (3),v West Indies,Abu Dhabi,1,3.0,1
Hasan Ali,v Australia,Abu Dhabi,2,3.0,1
Shadab Khan,v Australia,Abu Dhabi,2,3.5,1
Mohammad Hafeez,v Australia,Dubai (DSC),2,2.0,1
Hasan Ali,v South Africa,Johannesburg,2,2.0,1
Arshad Iqbal,v Zimbabwe,Harare,1,4.0,1
Mohammad Hafeez,v New Zealand,Sharjah,1,2.0,1
Iftikhar Ahmed,v England,Lahore,2,4.0,1
Umar Gul,v Bangladesh,Cape Town,1,3.4,1
Shahid Afridi,v New Zealand,The Oval,1,4.0,1
Umar Gul,v England,Cardiff,2,2.1,1
Umar Gul,v Australia,Dubai (DSC),1,4.0,1
Bilawal Bhatti,v India,Mirpur,2,2.0,1
Shahid Afridi,v Australia,Dubai (DSC),2,4.0,1
Faheem Ashraf,v New Zealand,Lahore,2,2.0,1
Sohail Tanvir,v India,Durban,1,4.0,1
Shoaib Malik,v Netherlands,Lord's,2,2.0,1
Yasir Arafat,v England,Dubai (DSC),2,4.0,1
Saeed Ajmal,v Bangladesh,Gros Islet,2,3.0,1
Shoaib Akhtar,v England,Cardiff,2,4.0,1
